,index,Region,Association,Country,Player,Clubs,Periods,Number of Clubs,First Year,Final Year,Total Years,Active
154,2623,South America,CONMEBOL,Chile,Alexis Sánchez,"Arsenal F.C., Manchester United F.C.",2014–19,2.0,2014.0,2019,5.0,False
155,2642,South America,CONMEBOL,Colombia,David Ospina,Arsenal F.C.,2014–18,1.0,2014.0,2018,4.0,False
156,2704,South America,CONMEBOL,Uruguay,Lucas Torreira,Arsenal F.C.,2018–20,1.0,2018.0,2020,2.0,False
157,44,Africa,CAF,Cameroon,Lauren,Arsenal F.C.,,,,,,
158,95,Africa,CAF,Egypt,Mohamed Elneny,Arsenal F.C.,,,,,,
159,108,Africa,CAF,Gabon,Pierre-Emerick Aubameyang,Arsenal F.C.,,,,,,
160,127,Africa,CAF,Ghana,Emmanuel Frimpong,Arsenal F.C.,,,,,,
161,138,Africa,CAF,Ghana,Quincy Owusu-Abeyie,Arsenal F.C.,,,,,,
162,140,Africa,CAF,Ghana,Thomas Partey,Arsenal F.C.,,,,,,
163,151,Africa,CAF,Guinea,Kaba Diawara,Arsenal F.C.,,,,,,
164,170,Africa,CAF,Ivory Coast,Emmanuel Eboué,Arsenal F.C.,,,,,,
165,174,Africa,CAF,Ivory Coast,Gervinho,Arsenal F.C.,,,,,,
166,184,Africa,CAF,Ivory Coast,Nicolas Pépé,Arsenal F.C.,,,,,,
167,191,Africa,CAF,Ivory Coast,Kolo Touré,Arsenal F.C.,,,,,,
168,201,Africa,CAF,Liberia,Christopher Wreh,Arsenal F.C.,,,,,,
169,228,Africa,CAF,Morocco,Marouane Chamakh,Arsenal F.C.,,,,,,
170,252,Africa,CAF,Nigeria,Chuba Akpom,Arsenal F.C.,,,,,,
171,274,Africa,CAF,Nigeria,Alex Iwobi,Arsenal F.C.,,,,,,
172,277,Africa,CAF,Nigeria,Nwankwo Kanu,Arsenal F.C.,,,,,,
173,350,Africa,CAF,Senegal,Armand Traoré,Arsenal F.C.,,,,,,
174,376,Africa,CAF,Togo,Emmanuel Adebayor,Arsenal F.C.,,,,,,
175,459,Asia,AFC,China PR,Nico Yennaris,Arsenal F.C.,,,,,,
176,478,Asia,AFC,Japan,Takehiro Tomiyasu,Arsenal F.C.,,,,,,
